TechStack,Links
"React, Node.js"," MongoDB	https://example.com/react-portfolio"
"Python, Django"," PostgreSQL	https://example.com/ecommerce-django"
"Vue.js, Express"," MySQL	https://example.com/vue-dashboard"
"Angular, Firebase"," TypeScript	https://example.com/angular-chat-app"
"Ruby on Rails, PostgreSQL"," Redis	https://example.com/rails-social-network"
"PHP, Laravel"," MySQL	https://example.com/laravel-crm"
"Java, Spring Boot"," MySQL	https://example.com/spring-boot-inventory"
"Kotlin, Android Studio"," SQLite	https://example.com/kotlin-weather-app"
"Swift, iOS"," CoreData	https://example.com/swift-fitness-tracker"
"C#, ASP.NET Core"," SQL Server	https://example.com/aspnet-job-board"
"Go, Gin"," PostgreSQL	https://example.com/go-microservices"
"Rust, Actix"," SQLite	https://example.com/rust-url-shortener"
"Next.js, Tailwind CSS"," Prisma	https://example.com/nextjs-blog"
"Nuxt.js, Vuex"," MongoDB	https://example.com/nuxtjs-admin"
"Flutter, Dart"," Firebase	https://example.com/flutter-task-manager"
"React Native, Redux"," Node.js	https://example.com/react-native-store"
"Python, Flask"," SQLite	https://example.com/flask-todo-api"
"Svelte, SvelteKit"," Supabase	https://example.com/svelte-kanban"
"HTML, CSS"," JavaScript	https://example.com/vanilla-landing-page"
"GraphQL, Apollo"," Node.js	https://example.com/graphql-music-library"
"Docker, Kubernetes"," AWS	https://example.com/devops-infrastructure"
"TensorFlow, Python"," Pandas	https://example.com/ml-price-predictor"
"PyTorch, OpenCV"," Python	https://example.com/cv-object-detection"
"Unity, C#"," WebGL	https://example.com/unity-browser-game"
"Unreal Engine, C++"," Blueprints	https://example.com/unreal-fps-demo"